0,D300140986
1,D300140987
2,D300159984
3,D300159988
4,D300159996
5,D300160001
6,D300032142
7,D300032143
8,D300032272
9,D300032744
10,D300120957
11,D300120954
12,D300120973
13,D300024019
14,D300029292
15,D300029293
16,D300029295
17,D300029297
18,D300032118
19,D300102764
20,D300102765
21,D300102766
22,D300102767
23,D300102768
24,D300102769
25,D300102770
26,D300102944
27,D300105322
28,D300106413
29,D300109303
30,D300109313
31,D300109619
32,D300110581
33,D300112310
34,D300113008
35,D300113181
36,D300113204
37,D300113375
38,D300113722
39,D300114200
40,D300114430
41,D300115961
42,D300116068
43,D300117003
44,D300119036
45,D300023899
46,D300023902
47,D300023903
48,D300023905
49,D300023906
50,D300023907
51,D300023908
52,D300023911
53,D300023912
54,D300023913
55,D300023914
56,D300023915
57,D300023916
58,D300023917
59,D300023922
60,D300023988
61,D300023990
62,D300023992
63,D300023996
64,D300023998
65,D300024001
66,D300024002
67,D300024003
68,D300024005
69,D300024015
70,D300024017
71,D300024018
72,D300024078
73,D300024115
74,D300024116
75,D300024117
76,D300024118
77,D300024119
78,D300024122
79,D300024123
80,D300024124
81,D300024125
82,D300024130
83,D300024131
84,D300024132
85,D300024133
86,D300024135
87,D300024138
88,D300024139
89,D300024140
90,D300024141
91,D300024143
92,D300024144
93,D300024145
94,D300024148
95,D300024149
96,D300024151
97,D300024152
98,D300024154
99,D300024155
100,D300024156
101,D300024157
102,D300024724
103,D300024725
104,D300024726
105,D300024727
106,D300024728
107,D300024729
108,D300024730
109,D300024731
110,D300024732
111,D300024734
112,D300024736
113,D300024737
114,D300024738
115,D300024741
116,D300024942
117,D300024943
118,D300025343
119,D300025605
120,D300025606
121,D300025679
122,D300025687
123,D300025688
124,D300025689
125,D300026407
126,D300125444
127,D300127242
128,D300023947
129,D300023957
130,D300023948
131,D300023962
132,D300107793
133,D300023949
134,D300023963
135,D300023950
136,D300023956
137,D300023951
138,D300023959
139,D300023952
140,D300023958
141,D300023953
142,D300023960
143,D300023946
144,D300023954
145,D300023955
146,D300023984
147,D300032819
148,D300024709
149,D300024713
150,D300024716
151,D300024717
152,D300025692
153,D300025699
154,D300025700
155,D300025653
156,D300025658
157,D300025693
158,D300103896
159,D300024813
160,D300024814
161,D300024817
162,D300024819
163,D300024826
164,D300024827
165,D300024828
166,D300024829
167,D300024830
168,D300024832
169,D300024833
170,D300026598
171,D300024756
172,D300024757
173,D300024755
174,D300026193
175,D300026969
176,D300027856
177,D300027876
178,D300028900
179,D300029102
180,D300029918
181,D300032270
182,D300103617
183,D300103629
184,D300103631
185,D300103635
186,D300103636
187,D300103747
188,D300104217
189,D300104458
190,D300104469
191,D300105752
192,D300106625
193,D300108094
194,D300109178
195,D300109179
196,D300109993
197,D300110610
198,D300110932
199,D300111199
200,D300111912
201,D300111927
202,D300113023
203,D300115474
204,D300116908
205,D300024710
206,D300024711
207,D300024715
208,D300024758
209,D300102594
210,D300102595
211,D300102596
212,D300102597
213,D300102598
214,D300102599
215,D300102600
216,D300102601
217,D300106136
218,D300106137
219,D300106139
220,D300106143
221,D300107404
222,D300107455
223,D300107456
224,D300107734
225,D300107737
226,D300107848
227,D300108275
228,D300108907
229,D300108909
230,D300108910
231,D300108912
232,D300108913
233,D300108915
234,D300108916
235,D300108917
236,D300109383
237,D300109384
238,D300109385
239,D300109386
240,D300109387
241,D300109933
242,D300110302
243,D300112100
244,D300112188
245,D300112450
246,D300113828
247,D300114174
248,D300114175
249,D300114432
250,D300115293
251,D300115305
252,D300116799
253,D300116893
254,D300117258
255,D300117707
256,D300117708
257,D300119219
258,D300024944
259,D300024945
260,D300025506
261,D300025515
262,D300025516
263,D300025517
264,D300025518
265,D300025519
266,D300025520
267,D300025521
268,D300025522
269,D300025523
270,D300025524
271,D300025621
272,D300025622
273,D300025623
274,D300025624
275,D300025626
276,D300025627
277,D300025628
278,D300025629
279,D300025630
280,D300025631
281,D300025632
282,D300025633
283,D300127703
284,D300128071
285,D300127438
286,D300128525
287,D300030390
288,D300024823
289,D300024834
290,D300024836
291,D300025307
292,D300025941
293,D300025944
294,D300025945
295,D300025946
296,D300025947
297,D300025948
298,D300025985
299,D300025987
300,D300025990
301,D300025991
302,D300026009
303,D300026010
304,D300026011
305,D300026012
306,D300026014
307,D300026015
308,D300026016
309,D300026017
310,D300026019
311,D300026423
312,D300026424
313,D300026426
314,D300026427
315,D300026428
316,D300026439
317,D300026440
318,D300026441
319,D300026442
320,D300026443
321,D300026444
322,D300026445
323,D300026446
324,D300026447
325,D300026448
326,D300026449
327,D300026450
328,D300026451
329,D300026452
330,D300026453
331,D300026544
332,D300026546
333,D300026549
334,D300026554
335,D300026664
336,D300026665
337,D300026666
338,D300026668
339,D300026669
340,D300026670
341,D300026671
342,D300026673
343,D300026675
344,D300026676
345,D300026677
346,D300026679
347,D300026680
348,D300026681
349,D300026682
350,D300026683
351,D300026684
352,D300026685
353,D300026762
354,D300026767
355,D300026770
356,D300026771
357,D300026807
358,D300026816
359,D300026820
360,D300026822
361,D300027339
362,D300027348
363,D300027349
364,D300027351
365,D300027353
366,D300027354
367,D300027355
368,D300027356
369,D300027357
370,D300027358
371,D300027359
372,D300027360
373,D300027361
374,D300027363
375,D300027820
376,D300027823
377,D300028006
378,D300028059
379,D300028061
380,D300028538
381,D300028807
382,D300029082
383,D300029342
384,D300029376
385,D300029416
386,D300029940
387,D300030195
388,D300030196
389,D300030197
390,D300030201
391,D300031524
392,D300031639
393,D300031731
394,D300031906
395,D300031907
396,D300032024
397,D300032307
398,D300032896
399,D300103203
400,D300107366
401,D300110649
402,D300111515
403,D300111518
404,D300111519
405,D300111581
406,D300111582
407,D300111657
408,D300111850
409,D300111882
410,D300113159
411,D300113707
412,D300114318
413,D300114697
414,D300114842
415,ME06042402IC01
416,ME06042402IC02
417,D300024838
418,D300026551
419,D300028008
420,D300028056
421,D300029084
422,D300032392
423,D300102727
424,D300102802
425,D300105183
426,D300105268
427,D300107233
428,D300107443
429,D300109213
430,D300110406
431,D300110998
432,D300111196
433,D300111566
434,D300111849
435,D300112660
436,D300114896
437,D300114897
438,D300115335
439,D300117121
440,D300026578
441,D300026581
442,D300026602
443,D300026603
